"Date","Price","Open","High","Low","Change %"
"Feb 18, 2010","29.9961","30.1262","30.1805","29.9585","-0.42"
"Feb 19, 2010","29.9704","30.0553","30.2210","29.9375","-0.09"
"Feb 22, 2010","29.9815","29.9271","29.9910","29.9039","0.04"
"Feb 23, 2010","29.9865","29.9853","29.9935","29.9845","0.02"
"Feb 24, 2010","30.0381","30.0483","30.1145","29.9293","0.17"
"Feb 25, 2010","30.0018","30.0291","30.1344","29.9874","-0.12"
"Feb 26, 2010","29.9300","30.0087","30.0850","29.8595","-0.24"
"Mar 01, 2010","29.9210","29.9395","30.0455","29.8520","-0.03"
"Mar 02, 2010","29.8270","29.9325","30.0570","29.8085","-0.31"
"Mar 03, 2010","29.7765","29.8269","29.8887","29.7300","-0.17"
"Mar 04, 2010","29.8545","29.7872","29.8999","29.7393","0.26"
"Mar 05, 2010","29.7590","29.8565","29.9043","29.7495","-0.32"
"Mar 08, 2010","29.7547","29.7603","29.7880","29.6720","-0.01"
"Mar 09, 2010","29.7330","29.7594","29.8262","29.7010","-0.07"
"Mar 10, 2010","29.5538","29.7423","29.7691","29.5070","-0.60"
"Mar 11, 2010","29.4530","29.5583","29.5905","29.4470","-0.34"
"Mar 12, 2010","29.2881","29.4593","29.4853","29.2640","-0.56"
"Mar 15, 2010","29.4213","29.2683","29.4795","29.2685","0.45"
"Mar 16, 2010","29.2805","29.4304","29.4593","29.2670","-0.48"
"Mar 17, 2010","29.1715","29.2863","29.3063","29.1215","-0.37"
"Mar 18, 2010","29.3035","29.1770","29.3363","29.1655","0.45"
"Mar 19, 2010","29.3370","29.3158","29.3425","29.2295","0.11"
"Mar 22, 2010","29.5270","29.3388","29.6763","29.2975","0.65"
"Mar 23, 2010","29.5380","29.5288","29.5760","29.3988","0.04"
"Mar 24, 2010","29.6985","29.5518","29.7233","29.5338","0.54"
"Mar 25, 2010","29.6040","29.6953","29.7350","29.4830","-0.32"
"Mar 26, 2010","29.5935","29.6088","29.6630","29.4913","-0.04"
"Mar 29, 2010","29.4830","29.5810","29.7358","29.4825","-0.37"
"Mar 30, 2010","29.5070","29.4915","29.5450","29.3305","0.08"
"Mar 31, 2010","29.4320","29.5140","29.5550","29.3935","-0.25"
"Apr 01, 2010","29.2500","29.4420","29.4695","29.2450","-0.62"
"Apr 02, 2010","29.2400","29.2600","29.2750","29.1790","-0.03"
"Apr 05, 2010","29.1970","29.2450","29.2475","29.1430","-0.15"
"Apr 06, 2010","29.3200","29.2000","29.3830","29.1785","0.42"
"Apr 07, 2010","29.3190","29.3300","29.3758","29.2600","-0.00"
"Apr 08, 2010","29.4150","29.3255","29.4858","29.3060","0.33"
"Apr 09, 2010","29.1300","29.4200","29.4508","29.1320","-0.97"
"Apr 12, 2010","29.0130","29.1300","29.1310","28.9044","-0.40"
"Apr 13, 2010","29.0420","29.0155","29.1310","28.9985","0.10"
"Apr 14, 2010","28.9440","29.0455","29.0758","28.9093","-0.34"
